"RESPNO";"withinwt_ea";"URBRUR";"REGION";"EA_SVC_A";"EA_SVC_B";"EA_FAC_B";"EA_ROAD_C";"THISINT";"ADULT_CT";"CALLS";"Q1";"Q2";"Q46F";"Q46G";"Q46H";"Q46I";"Q57A";"Q57B";"Q58A";"Q58C";"Q90D";"Q90F";"Q90G";"Q91C";"Q92A";"Q94";"LENGTH";"Q101";"Q102";"Q103"
"CDI0427";1.01036250913316;"Rural";"BAGOUE";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"3";"1";"28";"Malinké / Dioula";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Pas d’enseignement formel";67;"Femme";"Noir / Africain";"Français"
"CDI0867";1.46980976288612;"Urbain";"LA ME";"Oui";"Oui";"Oui";"Bonne";"Femme";"1";"1";"40";"Français";"Plutôt mal";"Plutôt mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";59;"Femme";"Noir / Africain";"Français"
"CDI0196";1.19235920019687;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"4";"1";"19";"Gouro";"Très mal";"Plutôt mal";"Très mal";"Très mal";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Université inachevée";103;"Femme";"Noir / Africain";"Français"
"CDI0300";0.887088977662694;"Rural";"GUEMON";"Non";"Non";"Oui";"Mauvaise";"Homme";"6";"1";"44";"Français";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement secondaire / lycée inachevé";82;"Homme";"Noir / Africain";"Français"
"CDI0808";1.3671558541582;"Urbain";"SAN-PEDRO";"Oui";"Oui";"Oui";"Bonne";"Homme";"3";"1";"23";"Français";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";66;"Homme";"Noir / Africain";"Français"
"CDI0694";0.952962814622802;"Rural";"GÔH";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"1";"1";"42";"Français";"Très mal";"Très mal";"Plutôt mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";69;"Femme";"Noir / Africain";"Français"
"CDI0318";0.79771579380561;"Urbain";"GONTOUGO";"Oui";"Oui";"Oui";"Mauvaise";"Homme";"3";"1";"18";"Koulango";"Très mal";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Oui";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement secondaire / lycée inachevé";66;"Homme";"Noir / Africain";"Français"
"CDI0207";1.32127598782671;"Rural";"GUEMON";"Oui";"Non";"Oui";"Mauvaise";"Femme";"3";"1";"58";"Guéré";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement secondaire / lycée inachevé";106;"Femme";"Noir / Africain";"Français"
"CDI1030";1.03689730828206;"Rural";"MORONOU";"Oui";"Non";"Oui";"Passable";"Femme";"6";"1";"27";"Agny";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";68;"Femme";"Noir / Africain";"Français"
"CDI0165";1.03176304004996;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"1";"1";"19";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";107;"Homme";"Noir / Africain";"Français"
"CDI0971";0.703542280823838;"Rural";"TONKPI";"Non";"Non";"Oui";"Passable";"Femme";"1";"1";"42";"Yacouba";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement primaire inachevé";82;"Femme";"Noir / Africain";"Français"
"CDI1187";0.965982729911639;"Rural";"TONKPI";"Oui";"Non";"Oui";"Passable";"Femme";"3";"1";"49";"Yacouba";"Plutôt bien";"Très mal";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement primaire inachevé";84;"Femme";"Noir / Africain";"Français"
"CDI0248";1.15378023435152;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"5";"1";"25";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Qualifications post-secondaires autres qu’universitaires (certificat ou diplôme d'école polytechnique)";118;"Homme";"Noir / Africain";"Français"
"CDI0356";0.935764218062703;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"1";"1";"22";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Oui";"Non";"Le vaccin n’est pas sûr";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";87;"Homme";"Noir / Africain";"Français"
"CDI1161";0.860198880737072;"Urbain";"TONKPI";"Oui";"Oui";"Oui";"Très bonne";"Homme";"2";"1";"45";"Malinké / Dioula";"Très mal";"Plutôt bien";"Très bien";"Plutôt bien";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";86;"Homme";"Noir / Africain";"Français"
"CDI1032";1.03689730828206;"Rural";"MORONOU";"Oui";"Non";"Oui";"Passable";"Homme";"6";"1";"30";"Agny";"Très mal";"Plutôt mal";"Plutôt mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Université achevée";85;"Homme";"Noir / Africain";"Français"
"CDI0376";0.80804202552496;"Urbain";"TONKPI";"Oui";"Oui";"Oui";"Passable";"Femme";"1";"1";"32";"Yacouba";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";107;"Femme";"Noir / Africain";"Français"
"CDI0332";0.79771579380561;"Urbain";"GONTOUGO";"Oui";"Oui";"Oui";"Mauvaise";"Femme";"2";"1";"41";"Français";"Très mal";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Non";"Oui";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, à l’intérieur de la maison";"Oui";"Pas d’enseignement formel";91;"Femme";"Noir / Africain";"Français"
"CDI0422";1.2963227113805;"Rural";"GUEMON";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"1";"1";"27";"Français";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";68;"Homme";"Noir / Africain";"Français"
"CDI0920";1.11432374278422;"Rural";"BERE";"Oui";"Non";"Oui";"Passable";"Femme";"1";"1";"35";"Sénoufo";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Qualifications post-secondaires autres qu’universitaires (certificat ou diplôme d'école polytechnique)";74;"Femme";"Noir / Africain";"Français"
"CDI0079";1.10981815699287;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Très bonne";"Homme";"4";"1";"23";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";76;"Homme";"Noir / Africain";"Français"
"CDI0401";1.14839712283822;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Homme";"5";"1";"18";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Quelqu’un d’autre dans le ménage en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";86;"Homme";"Noir / Africain";"Français"
"CDI0793";1.0051726932743;"Rural";"GONTOUGO";"Non";"Non";"Oui";"Passable";"Femme";"3";"1";"40";"Abron";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée achevé";85;"Femme";"Noir / Africain";"Français"
"CDI0460";0.97524036916027;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Passable";"Homme";"1";"1";"40";"Français";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Post universitaire";86;"Homme";"Noir / Africain";"Français"
"CDI0179";1.07662230266083;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très mauvaise";"Femme";"2";"1";"27";"Guéré";"Très mal";"Très bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";72;"Femme";"Noir / Africain";"Français"
"CDI0080";1.10981815699287;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Très bonne";"Femme";"1";"1";"48";"Français";"Très mal";"Plutôt bien";"Très bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";80;"Femme";"Noir / Africain";"Français"
"CDI0811";1.0051726932743;"Rural";"GONTOUGO";"Non";"Non";"Oui";"Passable";"Homme";"2";"1";"42";"Français";"Plutôt mal";"Plutôt bien";"Très mal";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée achevé";66;"Homme";"Noir / Africain";"Français"
"CDI0381";0.917205633994955;"Rural";"BOUNKANI";"Oui";"Non";"Oui";"Mauvaise";"Homme";"6";"1";"19";"Français";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";77;"Homme";"Noir / Africain";"Français"
"CDI0200";0.75135455952802;"Urbain";"LÔH-DJIBOUA";"Oui";"Oui";"Oui";"Passable";"Homme";"1";"1";"49";"Français";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Le vaccin a été mis au point trop rapidement";"Quelqu’un d’autre dans le ménage en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";87;"Homme";"Noir / Africain";"Français"
"CDI0082";0.779653984176883;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Mauvaise";"Femme";"3";"1";"22";"Français";"Très mal";"Plutôt mal";"Plutôt bien";"Très mal";"Non";"Oui";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";115;"Femme";"Noir / Africain";"Français"
"CDI0534";1.44746172951305;"Urbain";"NAWA";"Oui";"Non";"Oui";"Passable";"Femme";"1";"1";"18";"Français";"Plutôt bien";"Plutôt bien";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";88;"Femme";"Noir / Africain";"Français"
"CDI0650";0.977025226451627;"Rural";"NAWA";"Non";"Non";"Oui";"Passable";"Femme";"4";"1";"34";"Baoulé";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Non, pas disponible";"Non";"Enseignement secondaire / lycée inachevé";86;"Femme";"Noir / Africain";"Français"
"CDI1155";0.860198880737072;"Urbain";"TONKPI";"Oui";"Oui";"Oui";"Très bonne";"Femme";"3";"1";"29";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Très mal";"Très bien";"Non";"Oui";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Pas d’enseignement formel";95;"Femme";"Noir / Africain";"Français"
"CDI1056";0.988452888269976;"Urbain";"YAMOUSSOUKRO";"Oui";"Oui";"Oui";"Très bonne";"Homme";"5";"1";"20";"Malinké / Dioula";"Très mal";"Très mal";"Très mal";"Très bien";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";78;"Homme";"Noir / Africain";"Français"
"CDI0726";0.620001864416937;"Urbain";"BERE";"Oui";"Oui";"Oui";"Très bonne";"Femme";"10";"1";"51";"Koyaka";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université inachevée";89;"Femme";"Noir / Africain";"Français"
"CDI0042";0.994081259456831;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"5";"1";"28";"Français";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";115;"Homme";"Noir / Africain";"Français"
"CDI0151";1.04970674509431;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"4";"1";"40";"Français";"Plutôt bien";"Plutôt bien";"Très mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";107;"Femme";"Noir / Africain";"Français"
"CDI0345";1.01202496450118;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Femme";"10";"1";"37";"Français";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Non";"Autre raison";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";103;"Femme";"Noir / Africain";"Français"
"CDI0846";0.980081257504833;"Rural";"WORODOUGOU";"Oui";"Oui";"Oui";"Très mauvaise";"Homme";"6";"1";"58";"Malinké / Dioula";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";84;"Homme";"Noir / Africain";"Français"
"CDI0454";0.917597486505162;"Urbain";"GBEKE";"Oui";"Non";"Oui";"Mauvaise";"Homme";"4";"1";"28";"Sénoufo";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée achevé";80;"Homme";"Noir / Africain";"Français"
"CDI0094";1.11789282426283;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Homme";"4";"1";"62";"Français";"Très mal";"Très mal";"Très mal";"Très mal";"Oui";"Oui";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";133;"Homme";"Noir / Africain";"Français"
"CDI1128";0.821870184896595;"Urbain";"AGNEBY-TIASSA";"Oui";"Non";"Oui";"Bonne";"Femme";"1";"1";"18";"Français";"Très mal";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";59;"Femme";"Noir / Africain";"Français"
"CDI1054";0.814628126505128;"Urbain";"GRAND-PONTS";"Non";"Non";"Oui";"Très mauvaise";"Femme";"6";"1";"42";"Sénoufo";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement primaire inachevé";77;"Femme";"Noir / Africain";"Malinké / Dioula"
"CDI1175";0.87801484983239;"Urbain";"GBEKE";"Oui";"Oui";"Oui";"Mauvaise";"Homme";"1";"1";"61";"Français";"Très mal";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";69;"Homme";"Noir / Africain";"Français"
"CDI0528";1.59114945743248;"Urbain";"SUD-COMOE";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"3";"1";"24";"Français";"Très mal";"Très mal";"Très mal";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";84;"Homme";"Noir / Africain";"Français"
"CDI0100";0.890007770199618;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Femme";"1";"1";"20";"Baoulé";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Oui";"Oui";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";109;"Femme";"Noir / Africain";"Français"
"CDI0199";0.75135455952802;"Urbain";"LÔH-DJIBOUA";"Oui";"Oui";"Oui";"Passable";"Femme";"3";"1";"23";"Français";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Non";"Le vaccin n’est pas sûr";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire achevé";51;"Femme";"Noir / Africain";"Français"
"CDI1147";1.08738852568744;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"6";"1";"21";"Malinké / Dioula";"Plutôt mal";"Ne sait pas / N’en a pas suffisamment entendu parler";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";63;"Homme";"Noir / Africain";"Français"
"CDI0547";1.44746172951305;"Urbain";"NAWA";"Oui";"Non";"Oui";"Passable";"Femme";"1";"1";"46";"Français";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"Ne s’inquiète pas de la COVID-19/COVID n'est pas sérieuse/N'est pas mortelle";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";85;"Femme";"Noir / Africain";"Français"
"CDI0268";0.999464370970135;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"1";"1";"31";"Français";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";124;"Homme";"Noir / Africain";"Français"
"CDI0272";1.17227989337311;"Urbain";"BAGOUE";"Oui";"Oui";"Oui";"Bonne";"Homme";"1";"1";"39";"Français";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Qualifications post-secondaires autres qu’universitaires (certificat ou diplôme d'école polytechnique)";99;"Homme";"Noir / Africain";"Français"
"CDI0153";1.03176304004996;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"2";"1";"38";"Français";"Plutôt bien";"Très mal";"Très bien";"Plutôt bien";"Non";"Oui";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";79;"Homme";"Noir / Africain";"Français"
"CDI0307";0.905259919487313;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"1";"1";"19";"Français";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";64;"Femme";"Noir / Africain";"Français"
"CDI0763";1.20915744292359;"Rural";"LA ME";"Oui";"Non";"Oui";"Passable";"Homme";"3";"1";"52";"Français";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";106;"Homme";"Noir / Africain";"Français"
"CDI0121";0.979726295421353;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"1";"1";"24";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Très bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";135;"Homme";"Noir / Africain";"Français"
"CDI0251";0.94971512153113;"Rural";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"5";"1";"30";"Autre";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";88;"Femme";"Noir / Africain";"Français"
"CDI0051";1.02189400227557;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"1";"1";"40";"Français";"Très mal";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Non";"Oui";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Qualifications post-secondaires autres qu’universitaires (certificat ou diplôme d'école polytechnique)";170;"Homme";"Noir / Africain";"Français"
"CDI0316";0.79771579380561;"Urbain";"GONTOUGO";"Oui";"Oui";"Oui";"Mauvaise";"Femme";"2";"1";"24";"Koulango";"Très mal";"Très mal";"Plutôt mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";88;"Femme";"Noir / Africain";"Français"
